YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
None,,0,147,Dilip Jagtaap,Ek Ande Futle,दिलीप जगताप,एक अंडे फुटले,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,19,Pu La Deshpande,Ek Zhunja Waaryaashee,पु.ल. देशपांडे,एक झुंज वाऱ्याशी,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=_rQMfWMUHqc https://www.youtube.com/watch?v=D4Vp_3k0fJg,,0,58,Va. Pu. Kale,Eka Mithichi Katha,व. पु. काळे,एका मिठीची कथा,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=7N9ZU9hFzLU,,125,38,Arvind Limaye,EXIT,अरविंद लिमये,एक्झिट,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
none,,0,47,Bhalchandra Pandit,एडीज् लाईव्ह शो,भालचंद्र पंडित,एडीज् लाईव्ह शो,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=HcMcRkGTTuk,,0,174,Baadal Sarkar,Evam Indrajit,बादल सरकार,एवं इंद्रजीत,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,171,Makarand Sathe,Ais Pais Soyina Bais,मकरंद साठे,ऐस पैस सोयीने बैस ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,54,Niteen Dev,Open Challenge,नितीन देव,ओपन चॅलेंज,1,,2024,Nitin Deo,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=a1zBuWLIuUg,,00:30.00,74,Vijay Tendulkar ,Olakh,विजय तेंडुलकर,ओळख,1,,2024,Anand Ghanekar,1,1,0,,0,,,0,0,,,
none,,0,169,Vilas Sarang,Katha Ardhyamurdhya,विलास सारंग,कथा अर्ध्यामुर्ध्या,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
