YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
None,,500,4,Unknown,Mrug Trushna (Hindi Script),Unknown,मृग-तृष्णा (Hindi Script),1,"Other, Satire, Sci-Fi",2024,Rohit Dube,0,0,0,,0,,,0,0,,,
https://youtu.be/u2ewPJNXNVo?si=u0Ux2Yb1Wn2ZJPai,,0,158,Dr. Chandrashekhar Phansalkar,Melya Aaicha Chaha,डॉ. चंद्रशेखर फणसळकर,मेल्या आईचा चहा,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
"https://www.youtube.com/watch?v=ydpcU4zVTI4 
Reading: https://www.youtube.com/watch?v=hqE7O_idaHs
https://www.youtube.com/watch?v=P2bmyLkodFg&list=RDP2bmyLkodFg&start_radio=1
",Structure of Play: https://www.youtube.com/watch?v=zvrEPHuVTZo,0,135,Girish Karnad ,Yayati,गिरीश कर्नाड,ययाती,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,103,G. A. Kulkarni/Aditya Khebudkar,Yatrik,जी ए कुळकर्णी आणि आदित्य खेबुडकर,यात्रीक,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,69,Dan Rebello,You & Me,डॅन रिबेलो,यु ऍंड मी,1,,2024,Richa Wadekar,0,0,0,,0,,,0,0,,,
None,,0,90,Abhijeet Kulkarni,Yeh Lamha Jeene Do,अभिजीत कुळकर्णी,ये लम्हा जिने दो,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,124,Chaitanya Sardeshpande,Ravivar Diaries ,चैतन्य सरदेशपांडे,रविवार डायरीज,2,,2024,,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=UDrXc61BuxU,,0,84,Sadanand Rege,Raja Idipus,सदानंद रेगे,राजा ईडिपस ,2,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=ePMtwX0eP8c,,0,133,Vasant Kanetkar,Raigadala Jevha Jaag Yete,वसंत कानेटकर,रायगडाला जेव्हा जाग येते,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,159,Dr. Chandrashekhar Phansalkar,Rickshawala,डॉ. चंद्रशेखर फणसळकर,रिक्षावाला,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,116,Vikram Watave,Red Wine White Wine,विक्रम वाटवे,रेड वाईन व्हाईट वाईन,2,,2024,Vikram Watave,0,0,0,,0,,,0,0,,,
none,,0,162,Makarand Sathe,Roman Samrajyachi Padjhad,मकरंद साठे,रोमन साम्राज्याची पडझड,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,65,Chakrapani Chitnis,Lagja Gale,चक्रपाणी चिटणीस,लग जा गले ,1,,2024,Chakrapani Chitnis,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=JLNPkLLr9Eo,,61,110,Amol Palshikar,Limit,अमोल पळशीकर,लिमीट,1,,2024,Ila Patki Gore,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=CZBR5E25_D0,,0,130,Vasant Kanetkar,Lekare Udanda Jhali,वसंत कानेटकर,लेकुरे उंदड झाली,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,57,Sanjay Pachpande,Lost Connection,संजय पाचपांडे,लॉस्ट कनेक्शन,1,,2024,Sanjay Pachpande,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=LlSCj2UR3aw,,0,146,Yogesh Soman,One Second's Life,योगेश सोमण,वन सेकंड's life,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,175,Baadal Sarkar,Vallabhpur chi Dantakatha,बादल सरकार,वल्ल्लभपूरची दंतकथा,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,Podcast:  https://www.youtube.com/watch?v=Jfgp9v3z2DU,0,189,Ambar Hadap,Vashya Baba Ani Sasu,अंबर हडप ,वश्या बाब्या आणि सासू ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,New Jersey,0,79,Sharad Sathe,Vaarasaa,शरद साठे,वारसा,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,0,86,D M Mirasdar ,Virangula,द मा मिरासदार ,विरंगुळा,1,,2024,Neeraj Kulkarni,0,0,0,,0,,,0,0,,,
none,,0,129,Vasant Kanetkar,Vedyache Ghar Unhaat,वसंत कानेटकर,वेड्याचे घर उन्हात,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://youtu.be/PsMLcMqYH3E?si=GDaRt9IFXZJ0yHUu,,0,89,C P Deshpande,Veshantar,चं प्र. देशपांडे,वेषांतर ,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=uBJmdRbIRDI,,0,40,Anup Upadhye,Vaitathya,अनुप उपाध्ये,वैतथ्य,1,,2024,Anup Upadhye,0,0,0,,0,,,0,0,,,
None,,0,15,Suresh Jayram,Vaishali Cottage,सुरेश जयराम,वैशाली कॉटेज,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
None,,0,34,Vaibhav Parab,Woh Saat Din,वैभव परब,वो सात दिन ,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,104, Satish Alekar,Shanivar Ravivar,सतीश आळेेकर,शनिवार रविवार,1,,2024,Jayprakash Chipalkatti,0,0,0,,0,,,0,0,,,
"https://www.youtube.com/watch?v=5VxDcdEc4ZU, 
https://www.youtube.com/watch?v=XliV9M7-If4, 
https://www.imdb.com/title/tt3319194/",,0,93,David Ives,Sure Thing,डेव्हिड आईव्ज,शूअर थिंग,1,,2024,Chaitanya Godsay,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=BLMvjcZBgkU,,1:37:56,148,Shafaat Khan,ShobhaYatra,शफाअत खान,शोभायात्रा,0,विनोदी - कटू उपहास/ इतिहासाचा व्यंगात्मक पडताळा / / fact chks of history - comedy  ,2024,Vijay Kenkare,9,2,90,,marathi publication : 1/1/2002,ISBN-10 ‏ : ‎ 8171857272 ; book - https://www.amazon.com/Shobhayatra-Marathi-Shafaat-Khan/dp/8171857272,,0,0,"Aug, 15",,
None,,0,137,Achyut Vaze,Shadja,अच्युत वझे,षड्ज,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,138,Achyut Vaze,स,अच्युत वझे,स,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=6QNts76MlsQ,,0,77,Sai Paranjape,Sakkhe Shejari,सई परांजपे,सख्खे शेजारी,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,1,Kshitij Patwardhan,Sagale Ubhe Aahet,क्षितिज पटवर्धन,सगळे उभे आहेत,2,"Comedy, Satire",2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,66,Tara Vanarse,Sandhyakaal,तारा वनारसे,संध्याकाळ,1,,2024,JayPrakash Chipalkatti,0,0,0,,0,,,0,0,,,
None,,0,156,Dr. Chandrashekhar Phansalkar,Sm Dvibhuj Trikon,डॉ. चंद्रशेखर फणसळकर,सम द्विभुज त्रिकोण,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,136,Vijay Tendulkar ,Samorcha Nadkarni,विजय तेंडुलकर,समोरचा नाडकर्णी,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,164,Makarand Sathe,सापत्नेकाराचे मूल ,मकरंद साठे,सापत्नेकाराचे मूल ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
"https://www.youtube.com/watch?v=Fo1KEJAEi98
https://www.youtube.com/watch?v=9rZAk5EUvak",,0,177,Baadal Sarkar,Saari Raat,बादल सरकार,सारी रात,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,36,Vijay Kanhere,Savdhan- Ek Yogkatha,विजय कान्हेरे,सावधान - एक योगकथा ,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,180,Chetan Datar,Savlya,चेतन दातार,सावल्या ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=RnxIJZAeKos,,0,85,Mahesh Elkunchwar,Sultan,महेश एलकुंचवार,सुल्तान,1,,2024,Jayprakash Chipalkatti,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=qTRRBSpf2Xo,,0,168,Makarand Sathe,Surya Pahilela Manoos,मकरंद साठे,सूर्य पाहिलेला माणूस,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=JNL2tEBJJzo,,0,131,Vasant Kanetkar,Suryachi Pille,वसंत कानेटकर,सूर्याची पिल्ले,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,11,Kashyap Deshpande,Square-One,कश्यप देशपांडे,स्क्वेअर वन,1,Sci-Fi,2024,Amol Lele,0,0,0,Unknown,0,Print,,0,6,,,
None,,0,39,Swati Ambole and Mandar Kulkarni,Stopwatch,स्वाती आंबोळे आणि मंदार कुळकर्णी,स्टॉपवॉच,1,,2024,Mandar Kulkarni,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=NDCDvcTU6yA,,0,150,Pradeep Rane,Svagat Svagate,प्रदीप राणे,स्वगत स्वगते,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,73,Asha Sathe,Svayam,आशा साठे,स्वयंम,1,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
none,,0,46,Prahlad Jadhav,Haravle Te Gavasle Ka,प्रल्हाद जाधव,हरवले ते गवसले का,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,30,Samir Vidhwans,Half Pant,समीर विद्वांस,हाफ-पॅन्ट ,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
None,,0,112,Sujay Jadhav,Haperbola,सुजय जाधव,हायपर बोला,0,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
none,,0,183,Rangey Raghav,Hindi Shakespeare,रंगेय राघव,हिंदी शेक्सपियर ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=QS8Uh-32kSY,,0,176,Baadal Sarkar,Hiroshima,बादल सरकार,हिरोशिमा,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=xJCqRHsmkdQ,reading,89,105,Chetan Datar,Hello Inspector,चेतन दातार,हॅलो इंस्पेक्टर,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://youtu.be/QrYttmKHTaM?si=dLqloM84I2FZm-SO,,0,108,Shivaji Deshmukh,Horpal,शिवाजी देशमुख,होरपळ,1,,2024,,0,0,0,,0,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=nh9Xz8u3LPA,,,,Hanoji Bala,Sangeet Hanoji Bala,होनाजी बाळा ,,,,,,,,,,,,,,,,,
